ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Principal Name,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,,,,,,,,,,,,,,,,,,,,,,,,
02M051,M051,P.S. 051 Elias Howe,310200010051,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1905,Open,M051,520 WEST 45 STREET,MANHATTAN,NY,10036,Nancy Sing Bock,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M059,M059,P.S. 059 Beekman Hill International,310200010059,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1960,Open,M267,213 EAST 63RD STREET,NEW YORK,NY,10065,Adele Schroeter,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M077,M077,P.S. 77 Lower Lab School,310200010077,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1999,Open,M198,1700 3 AVENUE,MANHATTAN,NY,10128,Mara Ratesic Koetke,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M089,M089,P.S. 89,310200010089,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1998,Open,M089,201 WARREN STREET,MANHATTAN,NY,10282,Veronica Najjar,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M104,M104,J.H.S. 104 Simon Baruch,310200010104,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1956,Open,M104,330 EAST 21 STREET,MANHATTAN,NY,10010,Rosemarie Gaetani,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M111,M111,P.S. 111 Adolph S. Ochs,310200010111,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",Jul 1 1958,Open,M111,440 WEST 53 STREET,MANHATTAN,NY,10019,Irma Medina,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M114,M114,East Side Middle School,310200010114,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1999,Open,M158,1458 YORK AVENUE,MANHATTAN,NY,10075,David Getz,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M116,M116,P.S. 116 Mary Lindley Murray,310200010116,DOE,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05",Jul 1 1926,Open,M116,210 EAST 33 STREET,MANHATTAN,NY,10016,Jane Hsu,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M124,M124,P.S. 124 Yung Wing,310200010124,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1976,Open,M124,40 DIVISION STREET,MANHATTAN,NY,10002,Alice Hom,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M126,M126,P.S. 126 Jacob August Riis,310200010126,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1966,Open,M126,80 CATHERINE STREET,MANHATTAN,NY,10038,Kerry Decker,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M130,M130,P.S. 130 Hernando De Soto,310200010130,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1921,Open,M130,143 BAXTER STREET,MANHATTAN,NY,10013,Lily Woo,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M131,M131,M.S. 131,310200010131,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1983,Open,M131,100 HESTER STREET,MANHATTAN,NY,10002,PHYLLIS TAM,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
