,system_code,location_code,location_name,primary_address_line_1,LONGITUDE,LATITUDE
996,02M419,M419,Landmark High School,351 WEST  18 STREET,-74.00254,40.743407
997,02M420,M420,High School for Health Professions and Human Servi,345 EAST  15TH STREET,-73.98259,40.732665
998,03M421,M421,West Prep Academy,150 WEST 105 STREET,-73.965611,40.799098
999,02M422,M422,Quest to Learn,351 WEST  18 STREET,-74.00254,40.743407
1000,06M423,M423,High School for Excellence and Innovation,650 ACADEMY STREET,-73.925464,40.865556
1001,02M425,M425,Leadership and Public Service High School,90 TRINITY PLACE,-74.012465,40.708971
1002,02M427,M427,Manhattan Academy For Arts & Language,111 EAST  33RD STREET,-73.98107,40.74651
1003,02M429,M429,Legacy School for Integrated Studies,34 WEST  14 STREET,-73.995731,40.736416
1004,84M430,M430,The Equity Project Charter School (TEP),549 AUDOBON AVENUE,-73.92606,40.856532
1005,02M432,M432,Murray Hill Academy,111 EAST  33RD STREET,-73.98107,40.74651
1006,84M433,M433,Renaissance Charter High School for Innovation,410 EAST 100 STREET,-73.942154,40.785107
1007,04M435,M435,Manhattan Center for Science and Mathematics,260 PLEASANT AVENUE,-73.932868,40.794184
1008,05M436,M436,New School HS D5,2005 MADISON AVENUE,-73.938714,40.807019
1009,02M437,M437,Hudson High School of Learning Technologies,351 WEST  18 STREET,-74.00254,40.743407
1010,02M438,M438,International High School at Union Square,40 IRVING PLACE,-73.987064,40.735361
1011,02M439,M439,Manhattan Village Academy,43 WEST  22 STREET,-73.991966,40.741963
1012,02M440,M440,Bayard Rustin Educational Complex,351 WEST  18 STREET,-74.00254,40.743407
1013,02M442,M442,"Ballet Tech, NYC Public School for Dance",890 BROADWAY,-73.989481,40.738521
1014,02M445,M445,Seward Park Hs,350 GRAND STREET,-73.9893,40.7168
1015,01M448,M448,University Neighborhood High School,200 MONROE STREET,-73.984128,40.712269
1016,02M449,M449,Vanguard High School,317 EAST  67 STREET,-73.959777,40.765638
